ID,Title,Content
2004,"Terranova <br/> B-Complex with Vitamin C","<strong>TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:</strong>
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 540mg</strong>
PROVIDING:
Stabilized Rice Bran 250mg
Rhodiola Root Extract [Rhodiola Rosea]-freeze dried aqueous extract 50mg
Siberian Ginseng [Eleutherococcus Senticosus]-fresh freeze dried-ORGANIC 50mg
Ashwagandha Root [Withania Somnifera]-ORGANIC 50mg
Green <strong>Oat</strong> Seed [Avena Sativa]-fresh freeze dried 25mg
Alfalfa Flower &amp; Leaf [Medicago Sativa]-fresh freeze dried-ORGANIC 25mg
Parsley Leaf [Petroselinum Crispum]-fresh freeze dried-ORGANIC 25mg
Dandelion Leaf [Taraxacum Officinale]-fresh freeze dried 25mg
Beetroot [Beta Vulgaris]-fresh freeze dried-ORGANIC 20mg
Pumpkin Seed [Cucurbita Pepo] 20mg-ORGANIC

Vitamin C (as Ca, Mg ascorbate) 250mg
Magnesium (as oxide, citrate, ascorbate) 50mg
Pantothenic Acid (as calcium pantothenate) 30mg
Inositol 30mg
Niacin (as niacinamide) 25mg
Calcium (as carbonate, citrate, ascorbate) 25mg
Vitamin B6 (as pyridoxine hydrochloride 6mg / pyridoxal 5-phosphate 6mg) 12mg
Vitamin B1 (as thiamin mononitrate) 20mg
Vitamin B2 (riboflavin) 20mg
Choline Bitartrate* (Vitacholine&#x2122;) 15mg
Folate (as calcium L-methylfolate) 200ug
Vitamin B12 (as methylcobalamin) 50ug
Biotin (as d-Biotin) 50ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)<strong>

*VitaCholine&#x2122; is a trademark of Balchem Corp</strong><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains Oat seed – consult physician if coeliac. </strong></div>"
2006,"Terranova <br/> Astragalus, Elderberry & Garlic Complex","<div class=""two-columns"">

TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<strong>MAGNIFOOD COMPLEX 825mg</strong>

PROVIDING:

Astragalus Root (fresh freeze dried – ORGANIC) 350mg
Elderberry (fresh freeze dried) 150mg
Garlic (fresh freeze dried – ORGANIC) 125mg
Olive Leaf (fresh freeze dried) 125mg
Elderflower (fresh freeze dried) 25mg
Maitake full spectrum (fresh freeze dried – ORGANIC) 25mg
Stabilized Rice Bran 15mg
Cayenne Fruit (ORGANIC) 10mg
Larch Tree Arabinogalactan [Larix laricina] 225mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>

<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>

NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES

</div>"
2025,"Terranova <br/> Green Child <br/> Sneaky Greens 180g",
2026,"Terranova <br/>Sports Nutrition sample",
2027,"Terranova <br/>Proteins sample",
2412,"Terranova <br/>Artichoke Leaf 250mg (Fresh Freeze Dried)","ONE VEGETARIAN CAPSULES TYPICALLY PROVIDES:
<div class=""two-columns"">Artichoke Leaf [Cynara scolymus] (fresh freeze dried) 250mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS
SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>

<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS NO PRESERVATIVES</div>
</div>
</div>"
2414,"Terranova <br/> Bilberry 360mg (Fresh Freeze Dried)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Bilberry Fruit [Vaccinium Myrtillus] (fresh freeze dried-ORGANIC) 360mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>

<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS NO PRESERVATIVES</div>
</div>
</div>"
2416,"TERRANOVA <br/>  Cordyceps 500mg (Full Spectrum-Fresh Freeze Dried-Organic)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Cordyceps [Cordyceps Sinensis]-fresh freeze dried-ORGANIC (Full-spectrum: providing all fungal components & extracellular compounds) 500mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong></div>
NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS NO PRESERVATIVES

</div>"
2419,"Terranova <br/> Garlic 500mg (Fresh Freeze Dried, Organic)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Garlic Bulb [Allium sativum] – fresh freeze dried – ORGANIC 500mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
</div>
</div>"
2421,"Terranova <br/> Gingko Leaf 500mg (Fresh Freeze Dried-Organic)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Ginkgo Leaf [Ginkgo biloba] – fresh freeze dried – ORGANIC 500mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>"
2422,"Terranova <br/> Milk Thistle 500mg (Fresh Freeze Dried-Organic)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Milk Thistle Seed [Silybum marianum] – freeze dried – ORGANIC 500mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
</div>
</div>"
2424,"Terranova <br/> Olive Leaf 450mg (Fresh Freeze Dried)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Olive Leaf [Oleo europaea] fresh freeze dried 450mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>"
2426,"Terranova <br/> Rhodiola Extract 300mg (Freeze Dried)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Rhodiola Root Extract [Rhodiola rosea] (freeze dried) 300mg
(as freeze dried aqueous [water] extract)
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

Typical assay range: 3% rosavins, 1% salidroside
<div>

<strong>SOLVENT-FREE</strong>
<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
</div>
</div>
</div>"
